target_lang|closest_lang_0|asp_dist_0|closest_lang_1|asp_dist_1|closest_lang_2|asp_dist_2|closest_lang_3|asp_dist_3|closest_lang_4|asp_dist_4
zga|poy|0.7065383920365467|seh|0.7065383920365467|nya|0.7065383920365467|sxb|0.7009762377511881|knf|0.630123680042141
ziw|kdc|1.0|ngp|1.0|ruf|1.0|cwe|1.0|vid|1.0
zlm|mxq|0.710962179710979|mco|0.710962179710979|mqj|0.7099984579745958|ptu|0.7099984579745958|zos|0.6857034176811823
zos|poi|1.0|mxq|0.7850999928855125|mco|0.7850999928855125|zlm|0.6857034176811823|rug|0.6823168387708625
zpc|zpu|1.0|ztq|1.0|zaa|1.0|zpo|1.0|zpz|1.0
zpl|zpu|1.0|ztq|1.0|zaa|1.0|zpo|1.0|zpz|1.0
zpm|zpu|1.0|ztq|1.0|zaa|1.0|zpo|1.0|zpz|1.0
zpo|zpu|1.0|ztq|1.0|zaa|1.0|zpz|1.0|zad|1.0
zpu|ztq|1.0|zaa|1.0|zpo|1.0|zpz|1.0|zad|1.0
zpz|zpu|1.0|ztq|1.0|zaa|1.0|zpo|1.0|zad|1.0
zsm|ind|0.7108559763665305|ncu|0.6539237549132277|wmw|0.6360904391732125|qwh|0.6063453826195944|zlm|0.6048149742470667
ztq|zpu|1.0|zaa|1.0|zpo|1.0|zpz|1.0|zad|1.0
zty|zpu|1.0|ztq|1.0|zaa|1.0|zpo|1.0|zpz|1.0
zyp|hlt|0.7315789722715857|cek|0.7315789722715857|suz|0.5615357075436413|lao|0.556157501063377|urt|0.5502283119365285
