target_lang|closest_lang_0|fixed_dist_0|closest_lang_1|fixed_dist_1|closest_lang_2|fixed_dist_2|closest_lang_3|fixed_dist_3|closest_lang_4|fixed_dist_4
cbs|xed|0.5|omw|0.5|zaw|0.5|acf|0.5|jvn|0.5
cbt|bkd|0.5|ded|0.5|snp|0.5|txq|0.5|oci|0.5
cbu|mqb|0.5|spy|0.5|yva|0.5|gum|0.5|qvc|0.5
cbv|upv|0.5|agr|0.5|xnr|0.5|afr|0.5|cof|0.5
cco|nch|0.5|sgb|0.5|ita|0.5|ura|0.5|slv|0.5
ceb|tnp|0.5|maj|0.5|kyc|0.5|zpz|0.5|tue|0.5
cek|acf|0.5|ign|0.5|uzn|0.5|lid|0.5|zad|0.5
ces|tte|0.5|guj|0.5|mgh|0.5|azg|0.5|snd|0.5
cgc|chf|0.5|kam|0.5|ood|0.5|snp|0.5|poi|0.5
chf|ben|0.5|prf|0.5|noa|0.5|lac|0.5|ndj|0.5
chv|omw|0.5|pol|0.5|cbr|0.5|sab|0.5|mbc|0.5
chz|chf|0.5|cco|0.5|apr|0.5|yva|0.5|gvc|0.5
cjo|imo|0.5|qvs|0.5|eng|0.5|hrv|0.5|quf|0.5
cle|pib|0.5|zao|0.5|lat|0.5|zpu|0.5|zar|0.5
cme|zpz|0.5|deu|0.5|alp|0.5|spp|0.5|obo|0.5
cmn|apb|0.5|cni|0.5|mca|0.5|kue|0.5|lvs|0.5
cni|chf|0.5|tpt|0.5|guj|0.5|zyp|0.5|pol|0.5
cnl|mcd|0.5|bba|0.5|zpc|0.5|oci|0.5|byr|0.5
cnt|cot|0.5|acr|0.5|iou|0.5|nlg|0.5|mxb|0.5
cof|mop|0.5|kfs|0.5|guo|0.5|blz|0.5|mbh|0.5
con|myk|0.5|trc|0.5|mto|0.5|mbt|0.5|zsm|0.5
cot|ata|0.5|wap|0.5|rai|0.5|amh|0.5|mbc|0.5
cpa|por|0.5|kne|0.5|rai|0.5|rro|0.5|tgo|0.5
cpb|ukr|0.5|swe|0.5|ikk|0.5|mih|0.5|mqb|0.5
cpu|crn|0.5|rgu|0.5|xnr|0.5|kaq|0.5|khm|0.5
crn|tnp|0.5|jiv|0.5|miz|0.5|prf|0.5|mop|0.5
cso|otq|0.5|luo|0.5|kek|0.5|qve|0.5|mxt|0.5
ctu|arb|0.5|toi|0.5|llg|0.5|ztq|0.5|tgo|0.5
cuc|dop|0.5|quh|0.5|zpz|0.5|hvn|0.5|met|0.5
cui|chf|0.5|tam|0.5|ura|0.5|tnn|0.5|mpx|0.5
cuk|cwe|0.5|qvs|0.5|otq|0.5|khm|0.5|arb|0.5
cwe|zaa|0.5|soy|0.5|kdl|0.5|arb|0.5|xng|0.5
cya|ken|0.5|cbr|0.5|med|0.5|nin|0.5|cmn|0.5
cym|daa|0.5|cuk|0.5|lid|0.5|pib|0.5|tnn|0.5
daa|azz|0.5|trc|0.5|jic|0.5|tpi|0.5|maq|0.5
dah|usp|0.5|gum|0.5|nhe|0.5|tbg|0.5|tfr|0.5
dan|hun|0.5|zaw|0.5|tpi|0.5|cco|0.5|ncl|0.5
ded|tbz|0.5|kfs|0.5|tte|0.5|qvh|0.5|knf|0.5
deu|mqb|0.5|xtm|0.5|tam|0.5|nch|0.5|ukr|0.5
dgo|tur|0.5|nya|0.5|vid|0.5|bzh|0.5|tcs|0.5
dgr|mco|0.5|yka|0.5|jiv|0.5|meq|0.5|otq|0.5
dik|gum|0.5|llg|0.5|snd|0.5|kan|0.5|fin|0.5
djk|mca|0.5|ekk|0.5|afr|0.5|qxo|0.5|mcp|0.5
dop|zad|0.5|qvc|0.5|npl|0.5|car|0.5|snd|0.5
ekk|fra|0.5|chv|0.5|pab|0.5|cni|0.5|cof|0.5
ell|vid|0.5|mil|0.5|bnp|0.5|ukr|0.5|mcp|0.5
emp|nhu|0.5|bul|0.5|taj|0.5|dan|0.5|mox|0.5
eng|usp|0.5|bfz|0.5|swe|0.5|cbc|0.5|npl|0.5
ese|zao|0.5|bul|0.5|txq|0.5|heb|0.5|suz|0.5
far|bjv|0.5|hun|0.5|not|0.5|fra|0.5|dgr|0.5
fil|mkl|0.5|agn|0.5|sgb|0.5|bus|0.5|cbt|0.5
fin|nca|0.5|arl|0.5|snp|0.5|cuk|0.5|ttc|0.5
fon|yaa|0.5|mbj|0.5|mkl|0.5|acr|0.5|hto|0.5
fra|dah|0.5|ukr|0.5|qxh|0.5|iba|0.5|zos|0.5
gai|lac|0.5|box|0.5|inb|0.5|knj|0.5|muy|0.5
gam|cax|0.5|zos|0.5|kan|0.5|snp|0.5|wmw|0.5
gbk|ztq|0.5|gai|0.5|tpi|0.5|qvc|0.5|mih|0.5
geb|por|0.5|nhu|0.5|mqj|0.5|ncu|0.5|mpm|0.5
gle|sja|0.5|afr|0.5|ded|0.5|kea|0.5|tgp|0.5
glg|kea|0.5|ell|0.5|tgp|0.5|heb|0.5|cap|0.5
glk|lit|0.5|fon|0.5|tnn|0.5|nca|0.5|quf|0.5
gng|con|0.5|kde|0.5|mqj|0.5|lug|0.5|cya|0.5
grc|hau|0.5|srp|0.5|blz|0.5|uzn|0.5|acr|0.5
gub|blz|0.5|bqp|0.5|lid|0.5|rro|0.5|tbg|0.5
guh|ncj|0.5|fon|0.5|byr|0.5|cui|0.5|tpi|0.5
guj|toi|0.5|pad|0.5|cnt|0.5|lug|0.5|cme|0.5
gum|bkd|0.5|bul|0.5|hto|0.5|uzn|0.5|bba|0.5
guo|pab|0.5|mxq|0.5|ory|0.5|bgt|0.5|bmu|0.5
gux|mdy|0.5|nin|0.5|kdl|0.5|khm|0.5|agr|0.5
gvc|gub|0.5|cuk|0.5|urt|0.5|mca|0.5|qwh|0.5
gwi|wap|0.5|cni|0.5|mca|0.5|tpi|0.5|heb|0.5
gym|sgb|0.5|hye|0.5|hns|0.5|vie|0.5|apr|0.5
gyr|oci|0.5|asm|0.5|nld|0.5|nhe|0.5|ziw|0.5
hat|wol|0.5|lao|0.5|ura|0.5|cot|0.5|qvs|0.5
hau|chz|0.5|agg|0.5|kek|0.5|ata|0.5|loz|0.5
heb|amf|0.5|ltz|0.5|dgo|0.5|tac|0.5|tnn|0.5
hin|maz|0.5|boa|0.5|lex|0.5|ceb|0.5|lgl|0.5
hlt|tos|0.5|deu|0.5|dgr|0.5|mkd|0.5|zam|0.5
hns|gux|0.5|npl|0.5|bgc|0.5|srm|0.5|ltz|0.5
hrv|mih|0.5|qxn|0.5|fra|0.5|mcd|0.5|guj|0.5
hto|tna|0.5|qvw|0.5|tav|0.5|cuk|0.5|ken|0.5
hub|agg|0.5|pao|0.5|byr|0.5|chf|0.5|rop|0.5
hun|meq|0.5|boj|0.5|zpu|0.5|ctu|0.5|nlg|0.5
huu|tnk|0.5|mih|0.5|maq|0.5|pls|0.5|cso|0.5
huv|cwe|0.5|xtd|0.5|khm|0.5|zga|0.5|zao|0.5
hvn|cso|0.5|cpb|0.5|yre|0.5|cap|0.5|tcs|0.5
hye|txu|0.5|zar|0.5|azj|0.5|ind|0.5|nhe|0.5
iba|mbt|0.5|inb|0.5|pjt|0.5|urb|0.5|zos|0.5
ibo|ceb|0.5|sus|0.5|tee|0.5|wol|0.5|zty|0.5
ign|spy|0.5|yor|0.5|jac|0.5|mox|0.5|mpx|0.5
ikk|kea|0.5|mop|0.5|amh|0.5|sus|0.5|gbk|0.5
imo|mit|0.5|qvm|0.5|atg|0.5|tnk|0.5|xtd|0.5
inb|noa|0.5|dgo|0.5|tam|0.5|sja|0.5|mto|0.5
ind|urt|0.5|cap|0.5|bmu|0.5|ngp|0.5|maj|0.5
iou|nhe|0.5|lug|0.5|med|0.5|zai|0.5|pad|0.5
ipi|bul|0.5|cgc|0.5|tgk|0.5|hto|0.5|pad|0.5
isl|gbk|0.5|vid|0.5|quf|0.5|ron|0.5|kje|0.5
ita|mil|0.5|cof|0.5|wap|0.5|tnp|0.5|quh|0.5
jac|rug|0.5|bqp|0.5|gai|0.5|mpx|0.5|tbg|0.5
jav|bjz|0.5|jac|0.5|sxb|0.5|sja|0.5|mri|0.5
jic|ded|0.5|zav|0.5|mie|0.5|kyc|0.5|hin|0.5
jiv|tgo|0.5|otq|0.5|arl|0.5|azg|0.5|por|0.5
jvn|uzn|0.5|apr|0.5|ncj|0.5|spp|0.5|cni|0.5
kam|zav|0.5|qxh|0.5|bmr|0.5|yal|0.5|imo|0.5
kan|bmr|0.5|aia|0.5|yaa|0.5|rro|0.5|tbc|0.5
kaq|mca|0.5|toc|0.5|cco|0.5|spa|0.5|cni|0.5
kat|agn|0.5|ruf|0.5|ata|0.5|sgb|0.5|otq|0.5
kaz|srn|0.5|mbc|0.5|zga|0.5|fil|0.5|jav|0.5
kdc|eng|0.5|lid|0.5|ikk|0.5|kyg|0.5|bzj|0.5
kde|mal|0.5|ake|0.5|xon|0.5|mee|0.5|fin|0.5
kdl|cwe|0.5|bgt|0.5|kyq|0.5|isl|0.5|zpc|0.5
kea|ory|0.5|bss|0.5|kik|0.5|mri|0.5|ood|0.5
kek|gyr|0.5|ote|0.5|mil|0.5|mlt|0.5|mdy|0.5
ken|sdh|0.5|glk|0.5|zad|0.5|hye|0.5|bgt|0.5
kfs|lac|0.5|tav|0.5|kek|0.5|srn|0.5|zpo|0.5
kfx|jac|0.5|ces|0.5|cpb|0.5|ycn|0.5|urd|0.5
khm|jic|0.5|mih|0.5|zpl|0.5|zav|0.5|sey|0.5
kik|maq|0.5|tna|0.5|mxt|0.5|tew|0.5|inb|0.5
kje|gng|0.5|spp|0.5|nfa|0.5|ben|0.5|mal|0.5
klv|grc|0.5|sus|0.5|hub|0.5|car|0.5|zga|0.5
kmu|pes|0.5|cnt|0.5|cab|0.5|kue|0.5|cuk|0.5
kne|fon|0.5|cat|0.5|azg|0.5|mkl|0.5|maj|0.5
knf|shp|0.5|hrv|0.5|tew|0.5|crn|0.5|mto|0.5
knj|atb|0.5|bnp|0.5|ipi|0.5|cwe|0.5|som|0.5
kor|sey|0.5|prf|0.5|slv|0.5|jav|0.5|zpz|0.5
ksr|ibo|0.5|omw|0.5|ken|0.5|kfs|0.5|tuo|0.5
kue|khm|0.5|mjl|0.5|pan|0.5|poi|0.5|daa|0.5
kvn|mit|0.5|cax|0.5|ken|0.5|blz|0.5|seh|0.5
kwd|jac|0.5|mil|0.5|ceb|0.5|tav|0.5|sdh|0.5
kwf|nld|0.5|tnk|0.5|tpt|0.5|usp|0.5|mca|0.5
kwi|ipi|0.5|kfs|0.5|uzn|0.5|acu|0.5|bao|0.5
kyc|lin|0.5|kyz|0.5|jav|0.5|agu|0.5|qvw|0.5
kyf|ote|0.5|slv|0.5|mxt|0.5|meq|0.5|bnp|0.5
kyg|cbt|0.5|upv|0.5|qvh|0.5|tpi|0.5|dan|0.5
kyq|ita|0.5|blz|0.5|rro|0.5|npl|0.5|suz|0.5
kyz|jvn|0.5|ake|0.5|hlt|0.5|tpt|0.5|spa|0.5
lac|yor|0.5|rus|0.5|nas|0.5|maz|0.5|asm|0.5
lao|mqb|0.5|tfr|0.5|bps|0.5|lid|0.5|isl|0.5
lat|tbg|0.5|ptu|0.5|nab|0.5|xng|0.5|cax|0.5
lbb|kyz|0.5|glk|0.5|hns|0.5|ncl|0.5|bus|0.5
lex|rai|0.5|arb|0.5|cap|0.5|box|0.5|daa|0.5
lgl|prf|0.5|agr|0.5|slv|0.5|tna|0.5|sgb|0.5
lid|zpo|0.5|hto|0.5|inb|0.5|zao|0.5|daa|0.5
lin|bjv|0.5|ncl|0.5|tgo|0.5|hin|0.5|azg|0.5
lit|ztq|0.5|cgc|0.5|ron|0.5|npl|0.5|upv|0.5
llg|mbb|0.5|kdc|0.5|vie|0.5|cbi|0.5|tna|0.5
loz|zao|0.5|aia|0.5|cbi|0.5|bgc|0.5|cbv|0.5
ltz|ttc|0.5|guj|0.5|gyr|0.5|kor|0.5|bnp|0.5
lug|bgt|0.5|huv|0.5|stp|0.5|cnt|0.5|ast|0.5
luo|zpm|0.5|lin|0.5|kik|0.5|mar|0.5|hun|0.5
lvs|zty|0.5|ell|0.5|guo|0.5|zar|0.5|mqb|0.5
lww|cni|0.5|gyr|0.5|aia|0.5|chv|0.5|hlt|0.5
maj|tel|0.5|arb|0.5|zca|0.5|guj|0.5|pao|0.5
mal|bbb|0.5|qvs|0.5|bba|0.5|maj|0.5|grc|0.5
maq|bgt|0.5|nhu|0.5|met|0.5|cuc|0.5|qvm|0.5
mar|blz|0.5|djk|0.5|eng|0.5|vie|0.5|urd|0.5
maz|mcd|0.5|tte|0.5|kwi|0.5|tnp|0.5|cot|0.5
mbb|zac|0.5|nin|0.5|ptu|0.5|kwf|0.5|tbc|0.5
mbc|tfr|0.5|ltz|0.5|azj|0.5|rgu|0.5|pad|0.5
mbh|nlg|0.5|ind|0.5|ttc|0.5|kyg|0.5|cuc|0.5
mbj|agd|0.5|nab|0.5|kat|0.5|mih|0.5|rop|0.5
mbt|mqb|0.5|ikk|0.5|kik|0.5|bus|0.5|cot|0.5
mca|cpu|0.5|bel|0.5|atg|0.5|iba|0.5|caa|0.5
mcb|stp|0.5|qub|0.5|hat|0.5|isl|0.5|mbb|0.5
mcd|kaz|0.5|cuc|0.5|bjv|0.5|tnn|0.5|zpu|0.5
mco|miz|0.5|tnp|0.5|hau|0.5|pir|0.5|bss|0.5
mcp|zaw|0.5|hau|0.5|xng|0.5|geb|0.5|nya|0.5
mcq|mkd|0.5|qve|0.5|ote|0.5|ita|0.5|mar|0.5
mdy|yad|0.5|otq|0.5|mco|0.5|usp|0.5|zpo|0.5
med|ycn|0.5|alp|0.5|zos|0.5|lao|0.5|jiv|0.5
mee|zab|0.5|mpp|0.5|zac|0.5|obo|0.5|srp|0.5
meq|zpc|0.5|tuo|0.5|imo|0.5|rgu|0.5|gai|0.5
met|fra|0.5|tfr|0.5|jiv|0.5|kje|0.5|yaa|0.5
mgh|hub|0.5|bjz|0.5|cab|0.5|hns|0.5|qvw|0.5
mib|kat|0.5|sna|0.5|agu|0.5|poy|0.5|ory|0.5
mie|zos|0.5|bjv|0.5|tur|0.5|mar|0.5|srp|0.5
mih|wmw|0.5|cbu|0.5|daa|0.5|ood|0.5|hat|0.5
mil|lvs|0.5|hin|0.5|mcp|0.5|acf|0.5|nnq|0.5
mio|ngu|0.5|tpi|0.5|agd|0.5|tgk|0.5|dah|0.5
mit|kyc|0.5|dop|0.5|umb|0.5|mie|0.5|miz|0.5
miz|bmr|0.5|rus|0.5|rop|0.5|cmn|0.5|toi|0.5
mjl|qul|0.5|dgo|0.5|bjr|0.5|kwi|0.5|tca|0.5
mkd|suz|0.5|rgu|0.5|rop|0.5|mqj|0.5|hat|0.5
mkl|pls|0.5|xtd|0.5|ign|0.5|qvw|0.5|ces|0.5
mkn|toc|0.5|qxn|0.5|vie|0.5|dgr|0.5|mkd|0.5
mlt|apr|0.5|lww|0.5|mcq|0.5|mpm|0.5|pls|0.5
mop|mri|0.5|con|0.5|seh|0.5|ngu|0.5|zas|0.5
mox|ekk|0.5|upv|0.5|bkd|0.5|kde|0.5|zas|0.5
mpm|ast|0.5|zav|0.5|amh|0.5|ote|0.5|ita|0.5
mpp|dan|0.5|gux|0.5|mqj|0.5|kwd|0.5|guh|0.5
mpx|cme|0.5|mca|0.5|iba|0.5|zpu|0.5|ukr|0.5
mqb|jiv|0.5|amk|0.5|mpp|0.5|qvw|0.5|fil|0.5
mqj|cap|0.5|awb|0.5|mco|0.5|amk|0.5|kor|0.5
mri|dgo|0.5|lat|0.5|tee|0.5|gvc|0.5|ukr|0.5
msy|snn|0.5|ceb|0.5|mib|0.5|knj|0.5|jiv|0.5
mto|poy|0.5|noa|0.5|cpu|0.5|xon|0.5|seh|0.5
muy|lid|0.5|nab|0.5|bmr|0.5|stp|0.5|urb|0.5
mxb|amk|0.5|zai|0.5|mpp|0.5|mie|0.5|mri|0.5
mxq|ast|0.5|kmu|0.5|cek|0.5|bzj|0.5|hub|0.5
mxt|tav|0.5|met|0.5|arb|0.5|qxo|0.5|ake|0.5
myk|gng|0.5|ptu|0.5|arb|0.5|sab|0.5|soy|0.5
myy|mib|0.5|qvn|0.5|bbb|0.5|huu|0.5|azz|0.5
nab|otq|0.5|snd|0.5|tbl|0.5|sey|0.5|zad|0.5
nas|mal|0.5|wmw|0.5|tnp|0.5|cym|0.5|ztq|0.5
nca|pes|0.5|tte|0.5|mco|0.5|ikk|0.5|tbc|0.5
nch|qve|0.5|poy|0.5|lid|0.5|lin|0.5|mkd|0.5
ncj|quf|0.5|oci|0.5|agn|0.5|ces|0.5|ast|0.5
ncl|tca|0.5|kne|0.5|dah|0.5|ast|0.5|blz|0.5
ncu|qvw|0.5|tgo|0.5|bjz|0.5|yaa|0.5|apr|0.5
ndj|lww|0.5|wol|0.5|ekk|0.5|gle|0.5|cya|0.5
nfa|daa|0.5|hlt|0.5|ign|0.5|mkn|0.5|ksr|0.5
ngp|miz|0.5|ast|0.5|snd|0.5|gum|0.5|med|0.5
ngu|cuc|0.5|daa|0.5|kyf|0.5|asm|0.5|cnt|0.5
nhe|far|0.5|vid|0.5|mqb|0.5|qve|0.5|kyq|0.5
nhu|tpi|0.5|chv|0.5|kyc|0.5|kwd|0.5|guh|0.5
nhw|meq|0.5|boj|0.5|mri|0.5|hye|0.5|gux|0.5
nhy|kue|0.5|yal|0.5|lbb|0.5|qub|0.5|udu|0.5
nin|eng|0.5|emp|0.5|meq|0.5|mkd|0.5|tpt|0.5
nko|por|0.5|hub|0.5|tgp|0.5|snn|0.5|kwi|0.5
nld|noa|0.5|sab|0.5|knf|0.5|meq|0.5|sey|0.5
nlg|rus|0.5|tuf|0.5|cmn|0.5|cgc|0.5|xtd|0.5
nnq|acr|0.5|chf|0.5|lin|0.5|gvc|0.5|lex|0.5
noa|nnq|0.5|fil|0.5|cof|0.5|gbk|0.5|ruf|0.5
not|iba|0.5|far|0.5|gng|0.5|zpz|0.5|kaq|0.5
npl|mio|0.5|llg|0.5|chv|0.5|muy|0.5|usp|0.5
nya|bkd|0.5|ign|0.5|qve|0.5|ruf|0.5|soy|0.5
obo|tfr|0.5|tnp|0.5|gle|0.5|tos|0.5|ast|0.5
oci|kdc|0.5|kue|0.5|qvz|0.5|cnt|0.5|bul|0.5
omw|gwi|0.5|trc|0.5|mar|0.5|guj|0.5|klv|0.5
ood|bzh|0.5|arb|0.5|jac|0.5|mdy|0.5|meq|0.5
ory|mcd|0.5|byr|0.5|zlm|0.5|hau|0.5|noa|0.5
ote|mbc|0.5|khm|0.5|afr|0.5|kue|0.5|hto|0.5
otq|djk|0.5|zad|0.5|cap|0.5|pab|0.5|guo|0.5
pab|amf|0.5|dan|0.5|luo|0.5|yva|0.5|mlt|0.5
pad|swe|0.5|toi|0.5|kwd|0.5|pao|0.5|cgc|0.5
pan|mcq|0.5|caa|0.5|bjz|0.5|bba|0.5|mqb|0.5
pao|huv|0.5|ncu|0.5|azg|0.5|lin|0.5|hye|0.5
pes|oci|0.5|zaa|0.5|mcd|0.5|tgo|0.5|fon|0.5
pib|bbb|0.5|tue|0.5|mdy|0.5|amf|0.5|lid|0.5
pir|amh|0.5|ipi|0.5|guj|0.5|ces|0.5|cle|0.5
pjt|spp|0.5|qub|0.5|ngp|0.5|rro|0.5|gux|0.5
pls|ibo|0.5|chf|0.5|rus|0.5|mxq|0.5|djk|0.5
poi|rai|0.5|taj|0.5|nas|0.5|luo|0.5|mib|0.5
pol|pab|0.5|cbr|0.5|srn|0.5|mpx|0.5|bao|0.5
por|hto|0.5|qvm|0.5|con|0.5|zpc|0.5|mjl|0.5
poy|kmu|0.5|kek|0.5|upv|0.5|klv|0.5|qxo|0.5
prf|nko|0.5|daa|0.5|nlg|0.5|zac|0.5|kyz|0.5
pst|bgt|0.5|ekk|0.5|swh|0.5|cbr|0.5|dop|0.5
ptu|met|0.5|ast|0.5|bjz|0.5|bgt|0.5|suz|0.5
qub|wol|0.5|ncu|0.5|bfz|0.5|quf|0.5|zca|0.5
quf|dah|0.5|ceb|0.5|cnl|0.5|pls|0.5|mie|0.5
quh|bus|0.5|usp|0.5|atb|0.5|qul|0.5|acu|0.5
qul|pib|0.5|fra|0.5|rro|0.5|srn|0.5|kyf|0.5
qvc|trc|0.5|xng|0.5|ese|0.5|mbb|0.5|agu|0.5
qve|amh|0.5|mlt|0.5|kat|0.5|qvc|0.5|spy|0.5
qvh|obo|0.5|zpl|0.5|cbc|0.5|slv|0.5|zav|0.5
qvm|mio|0.5|zos|0.5|pol|0.5|bjv|0.5|bmr|0.5
qvn|boa|0.5|yva|0.5|zac|0.5|qxn|0.5|vmy|0.5
qvs|mco|0.5|zpl|0.5|lww|0.5|nca|0.5|zpc|0.5
qvw|fin|0.5|gux|0.5|nhw|0.5|mox|0.5|mie|0.5
qvz|pjt|0.5|pib|0.5|cpa|0.5|cuk|0.5|sus|0.5
qwh|hun|0.5|bqp|0.5|cnt|0.5|lin|0.5|cwe|0.5
qxh|tbg|0.5|bss|0.5|tgo|0.5|agn|0.5|mqj|0.5
qxn|tcs|0.5|tbg|0.5|mkd|0.5|cya|0.5|mxq|0.5
qxo|chf|0.5|mdy|0.5|tnn|0.5|nch|0.5|zas|0.5
rai|glk|0.5|lat|0.5|gle|0.5|zas|0.5|otq|0.5
rgu|kvn|0.5|imo|0.5|pol|0.5|kea|0.5|qvn|0.5
ron|sri|0.5|hin|0.5|mqb|0.5|fil|0.5|kne|0.5
rop|slk|0.5|cat|0.5|mih|0.5|vie|0.5|kat|0.5
rro|mcd|0.5|cax|0.5|urt|0.5|tfr|0.5|mbb|0.5
ruf|sgb|0.5|tue|0.5|kwd|0.5|lex|0.5|zam|0.5
rug|yad|0.5|dan|0.5|sgb|0.5|bkd|0.5|poy|0.5
rus|guj|0.5|imo|0.5|crn|0.5|umb|0.5|ura|0.5
sab|srm|0.5|kyz|0.5|urb|0.5|msy|0.5|yre|0.5
sdh|tnn|0.5|zao|0.5|qxh|0.5|taj|0.5|qvw|0.5
